y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-21_18:54,517,51,328,0,478
2010-8-21_19:9,515,49,247,0,482
2010-8-21_19:24,513,49,155,0,480
2010-8-21_19:39,515,50,100,0,483
2010-8-21_19:54,515,49,76,0,479
2010-8-21_20:9,514,48,58,0,480
2010-8-21_20:24,509,48,56,0,506
2010-8-21_20:39,511,49,55,0,508
2010-8-21_20:54,507,48,57,0,512
2010-8-21_21:9,509,48,56,0,511
2010-8-21_21:24,506,48,56,0,510
2010-8-21_21:39,505,48,55,0,505
2010-8-21_21:54,503,47,56,0,510
2010-8-21_22:9,503,47,57,0,509
2010-8-21_22:24,501,47,55,0,506
2010-8-21_22:39,499,47,56,0,510
2010-8-21_22:54,498,47,56,0,504
2010-8-21_23:9,497,47,57,0,505
2010-8-21_23:24,496,47,56,0,503
2010-8-21_23:39,494,47,56,0,500
2010-8-21_23:54,494,47,56,0,503
2010-8-22_0:26,491,45,56,0,500
2010-8-22_0:41,489,45,56,0,501
2010-8-22_0:56,489,45,56,0,504
2010-8-22_1:11,492,45,56,0,503
2010-8-22_1:26,488,44,56,0,506
2010-8-22_1:41,490,45,55,0,505
2010-8-22_1:56,487,45,56,0,504
2010-8-22_2:11,486,45,55,0,505
2010-8-22_2:26,485,45,55,0,504
2010-8-22_2:41,482,45,55,0,503
2010-8-22_2:56,483,45,54,0,504
2010-8-22_3:11,482,45,54,0,503
2010-8-22_3:26,479,45,54,0,505
2010-8-22_3:41,480,44,54,0,506
2010-8-22_3:56,478,44,53,0,500
2010-8-22_4:11,481,44,53,0,505
2010-8-22_4:26,480,45,52,0,505
2010-8-22_4:41,480,45,53,0,505
2010-8-22_4:56,478,45,52,0,500
2010-8-22_5:11,477,44,52,0,500
2010-8-22_5:26,479,44,52,0,501
2010-8-22_5:41,478,44,52,0,499
2010-8-22_5:56,476,45,55,0,500
2010-8-22_6:11,475,45,73,0,499
2010-8-22_6:26,475,44,124,0,472
2010-8-22_6:41,474,45,256,0,473
2010-8-22_6:56,474,44,240,0,476
2010-8-22_7:11,472,44,303,0,475
2010-8-22_7:26,473,44,340,0,474
2010-8-22_7:41,470,45,382,0,474
2010-8-22_7:56,472,45,521,0,476
2010-8-22_8:11,471,45,554,0,473
2010-8-22_8:26,469,44,481,0,475
2010-8-22_8:41,469,44,498,0,475
2010-8-22_8:56,470,45,427,0,475
2010-8-22_9:11,469,45,554,0,475
2010-8-22_9:26,470,45,572,0,477
2010-8-22_9:41,469,45,547,0,475
2010-8-22_9:56,469,45,717,0,476
2010-8-22_10:11,468,45,689,0,474
2010-8-22_10:26,464,46,686,0,473
2010-8-22_10:41,465,45,502,0,473
2010-8-22_10:56,465,45,659,0,475
2010-8-22_11:11,465,45,823,0,472
2010-8-22_11:26,466,45,523,0,474
2010-8-22_11:41,468,45,511,0,473
2010-8-22_11:56,468,45,642,0,473
2010-8-22_12:11,472,45,535,0,473
2010-8-22_12:26,475,45,616,0,495
2010-8-22_12:41,483,45,559,0,504
2010-8-22_12:56,511,45,755,0,512
2010-8-22_13:11,520,46,654,0,518
2010-8-22_13:26,535,46,846,0,512
2010-8-22_13:41,536,46,834,0,512
2010-8-22_13:56,537,46,671,0,519
2010-8-22_14:11,538,46,773,0,519
2010-8-22_14:26,541,46,757,0,509
2010-8-22_14:41,541,46,772,0,514
2010-8-22_14:56,544,46,627,0,518
2010-8-22_15:11,542,46,385,0,509
2010-8-22_15:26,545,46,510,0,518
2010-8-22_15:41,618,46,773,0,603
2010-8-22_15:56,624,46,785,0,605
2010-8-22_16:11,626,46,797,0,602
2010-8-22_16:26,624,46,744,0,603
2010-8-22_16:41,625,46,669,0,604
2010-8-22_16:56,625,46,708,0,604
2010-8-22_17:11,625,46,748,0,604
2010-8-22_17:26,624,46,774,0,599
2010-8-22_17:41,623,46,586,0,605
2010-8-22_17:56,622,44,541,0,586
2010-8-22_18:11,625,44,468,0,588
2010-8-22_18:26,623,45,697,0,583
2010-8-22_18:41,623,44,544,0,586
2010-8-22_18:56,624,45,526,0,583
2010-8-22_19:11,622,43,441,0,585
2010-8-22_19:26,622,43,344,0,580
2010-8-22_19:41,619,43,226,0,577
2010-8-22_19:56,622,43,114,0,575
2010-8-22_20:11,619,43,61,0,600
2010-8-22_20:26,618,43,53,0,600
2010-8-22_20:41,617,43,52,0,600
2010-8-22_20:56,615,43,51,0,600
2010-8-22_21:11,614,43,51,0,599
2010-8-22_21:26,612,43,51,0,600
2010-8-22_21:41,611,42,51,0,601
2010-8-22_21:56,613,42,51,0,600
2010-8-22_22:11,610,42,51,0,602
2010-8-22_22:26,612,42,51,0,600
2010-8-22_22:41,607,42,50,0,600
2010-8-22_22:56,607,42,50,0,599
2010-8-22_23:11,610,42,52,0,599
2010-8-22_23:26,604,42,51,0,600
2010-8-22_23:41,605,41,51,0,598
2010-8-22_23:56,606,42,51,0,602
2010-8-23_0:11,603,42,51,0,601
2010-8-23_0:26,602,41,51,0,595
2010-8-23_0:41,600,42,50,0,593
2010-8-23_0:56,599,41,50,0,599
2010-8-23_1:11,599,41,50,0,595
2010-8-23_1:26,599,41,50,0,594
2010-8-23_1:41,596,41,50,0,594
2010-8-23_1:56,595,41,49,0,595
2010-8-23_2:11,595,41,49,0,596
2010-8-23_2:26,593,41,50,0,595
2010-8-23_2:41,592,41,49,0,595
2010-8-23_2:56,594,41,49,0,595
2010-8-23_3:11,591,41,49,0,595
2010-8-23_3:26,591,41,49,0,590
2010-8-23_3:41,593,40,49,0,590
2010-8-23_3:56,589,41,49,0,583
2010-8-23_4:11,588,40,49,0,590
2010-8-23_4:26,588,40,48,0,589
2010-8-23_4:41,589,40,49,0,583
2010-8-23_4:56,585,40,49,0,590
2010-8-23_5:11,582,40,49,0,585
2010-8-23_5:26,584,40,49,0,583
2010-8-23_5:41,582,40,49,0,585
2010-8-23_5:56,583,40,54,0,586
2010-8-23_6:11,581,39,96,0,584
2010-8-23_6:26,580,40,207,0,545
2010-8-23_6:41,579,39,302,0,546
2010-8-23_6:56,578,40,361,0,542
2010-8-23_7:11,577,39,414,0,538
2010-8-23_7:26,577,40,452,0,543
2010-8-23_7:41,575,40,477,0,542
2010-8-23_7:56,574,40,501,0,553
2010-8-23_8:11,574,40,541,0,544
2010-8-23_8:26,576,40,582,0,544
2010-8-23_8:41,572,40,670,0,545
2010-8-23_8:56,574,40,878,0,548
2010-8-23_9:11,573,41,890,0,542
2010-8-23_9:26,578,42,903,0,552
2010-8-23_9:41,578,43,888,0,543
2010-8-23_9:56,580,43,754,0,550
2010-8-23_10:11,580,43,755,0,549
2010-8-23_10:26,579,43,774,0,536
2010-8-23_10:41,581,43,720,0,543
2010-8-23_10:56,581,43,758,0,550
2010-8-23_11:11,581,42,786,0,553
2010-8-23_11:26,580,43,835,0,542
2010-8-23_11:41,580,44,913,0,545
2010-8-23_11:56,576,46,924,0,560
2010-8-23_12:11,578,48,885,0,550
2010-8-23_12:26,581,48,881,0,546
2010-8-23_12:41,585,47,762,0,539
2010-8-23_12:56,589,47,855,0,539
2010-8-23_13:11,586,46,802,0,531
2010-8-23_13:26,586,46,878,0,527
2010-8-23_13:41,589,46,703,0,532
2010-8-23_13:56,583,45,784,0,529
2010-8-23_14:11,585,45,704,0,524
2010-8-23_14:26,581,45,833,0,529
2010-8-23_14:41,581,45,883,0,520
2010-8-23_14:56,578,45,864,0,525
2010-8-23_15:11,576,45,771,0,528
2010-8-23_15:26,574,45,831,0,523
2010-8-23_15:41,572,44,646,0,521
2010-8-23_15:56,569,44,590,0,547
2010-8-23_16:11,570,44,536,0,542
2010-8-23_16:26,575,43,523,0,556
2010-8-23_16:41,579,43,539,0,544
2010-8-23_16:56,590,43,501,0,568
2010-8-23_17:11,598,43,532,0,562
2010-8-23_17:26,608,43,479,0,573
2010-8-23_17:41,613,42,531,0,575
2010-8-23_17:56,617,42,426,0,580
2010-8-23_18:11,619,42,465,0,583
2010-8-23_18:26,621,42,451,0,593
2010-8-23_18:41,624,42,440,0,594
2010-8-23_18:56,625,41,394,0,600
2010-8-23_19:11,628,41,293,0,598
2010-8-23_19:26,626,41,368,0,600
2010-8-23_19:41,625,40,204,0,599
2010-8-23_19:56,630,41,68,0,599
2010-8-23_20:11,631,40,53,0,599
2010-8-23_20:26,625,40,50,0,601
2010-8-23_20:41,621,39,49,0,600
2010-8-23_20:56,616,40,49,0,600
2010-8-23_21:11,613,40,49,0,600
2010-8-23_21:26,610,40,48,0,600
2010-8-23_21:41,609,40,49,0,601
2010-8-23_21:56,608,40,49,0,600
2010-8-23_22:11,606,39,48,0,602
2010-8-23_22:26,605,40,49,0,601
2010-8-23_22:41,604,40,49,0,599
2010-8-23_22:56,604,40,49,0,599
2010-8-23_23:11,600,40,49,0,601
2010-8-23_23:26,599,39,49,0,601
2010-8-23_23:41,598,40,49,0,601
2010-8-23_23:56,597,40,49,0,602
2010-8-24_0:11,596,40,49,0,601
2010-8-24_0:26,596,39,48,0,600
2010-8-24_0:41,595,39,49,0,599
2010-8-24_0:56,594,40,49,0,601
2010-8-24_1:11,592,40,49,0,601
2010-8-24_1:26,591,40,49,0,600
2010-8-24_1:41,591,39,49,0,599
2010-8-24_1:56,588,40,49,0,600
2010-8-24_2:11,586,39,48,0,600
2010-8-24_2:26,587,39,49,0,600
2010-8-24_2:41,587,39,49,0,599
2010-8-24_2:56,585,39,48,0,600
2010-8-24_3:11,585,39,49,0,601
2010-8-24_3:26,582,39,49,0,600
2010-8-24_3:41,581,39,49,0,600
2010-8-24_3:56,579,39,48,0,599
2010-8-24_4:11,581,39,48,0,599
2010-8-24_4:26,579,39,48,0,601
2010-8-24_4:41,579,39,49,0,600
2010-8-24_4:56,578,39,49,0,601
2010-8-24_5:11,576,39,49,0,600
2010-8-24_5:26,577,39,48,0,599
2010-8-24_5:41,576,39,49,0,600
2010-8-24_5:56,575,39,54,0,600
2010-8-24_6:11,573,39,78,0,600
2010-8-24_6:26,573,38,145,0,569
2010-8-24_6:41,573,38,242,0,573
2010-8-24_6:56,572,38,329,0,572
2010-8-24_7:11,571,39,482,0,559
2010-8-24_7:26,570,38,540,0,568
2010-8-24_7:41,571,38,564,0,571
2010-8-24_7:56,568,38,602,0,571
2010-8-24_8:11,569,39,722,0,574
2010-8-24_8:26,569,39,711,0,566
2010-8-24_8:41,567,39,730,0,571
2010-8-24_8:56,567,39,771,0,564
2010-8-24_9:11,569,40,893,0,569
2010-8-24_9:26,568,40,911,0,559
2010-8-24_9:41,569,41,916,0,566
2010-8-24_9:56,572,41,766,0,563
2010-8-24_10:11,573,41,761,0,568
2010-8-24_10:26,573,41,796,0,559
2010-8-24_10:41,572,41,705,0,557
2010-8-24_10:56,572,41,698,0,556
2010-8-24_11:11,573,41,804,0,553
2010-8-24_11:26,572,41,780,0,549
2010-8-24_11:41,572,41,722,0,548
2010-8-24_11:56,571,41,681,0,549
2010-8-24_12:11,569,41,643,0,544
2010-8-24_12:26,572,41,719,0,540
2010-8-24_12:41,571,41,688,0,535
2010-8-24_12:56,570,41,833,0,542
2010-8-24_13:11,568,41,887,0,544
2010-8-24_13:26,567,42,854,0,535
2010-8-24_13:41,565,42,878,0,543
2010-8-24_13:56,565,42,856,0,539
2010-8-24_14:11,566,42,685,0,542
2010-8-24_14:26,564,42,798,0,538
2010-8-24_14:41,563,42,768,0,539
2010-8-24_14:56,566,41,826,0,534
2010-8-24_15:11,564,42,841,0,527
2010-8-24_15:26,563,41,565,0,536
2010-8-24_15:41,563,42,721,0,526
2010-8-24_15:56,562,42,747,0,533
2010-8-24_16:11,564,42,755,0,532
2010-8-24_16:26,562,42,714,0,537
2010-8-24_16:41,563,42,716,0,535
2010-8-24_16:56,562,42,677,0,536
2010-8-24_17:11,559,41,652,0,534
2010-8-24_17:26,559,42,634,0,529
2010-8-24_17:41,557,41,444,0,530
2010-8-24_17:56,557,41,415,0,523
2010-8-24_18:11,556,41,411,0,523
2010-8-24_18:26,555,41,404,0,528
2010-8-24_18:41,554,41,403,0,523
2010-8-24_18:56,554,41,339,0,518
2010-8-24_19:11,553,41,312,0,515
2010-8-24_19:26,549,41,199,0,513
2010-8-24_19:41,549,41,136,0,522
2010-8-24_19:56,549,41,75,0,520
2010-8-24_20:11,546,40,53,0,560
2010-8-24_20:26,547,40,50,0,559
2010-8-24_20:41,546,40,49,0,560
2010-8-24_20:56,545,40,49,0,553
2010-8-24_21:11,544,41,49,0,557
2010-8-24_21:26,544,41,49,0,558
2010-8-24_21:41,544,40,49,0,555
2010-8-24_21:56,542,40,49,0,555
2010-8-24_22:11,542,40,49,0,555
2010-8-24_22:26,541,41,49,0,554
2010-8-24_22:41,542,40,50,0,552
2010-8-24_22:56,537,40,49,0,549
2010-8-24_23:11,540,40,49,0,553
2010-8-24_23:26,537,40,50,0,555
2010-8-24_23:41,536,40,50,0,553
2010-8-24_23:56,536,40,50,0,552
2010-8-25_0:23,537,40,50,0,553
2010-8-25_0:38,538,39,49,0,549
2010-8-25_0:53,535,40,50,0,550
2010-8-25_1:8,535,40,49,0,548
2010-8-25_1:23,534,39,49,0,550
2010-8-25_1:38,533,40,50,0,553
2010-8-25_1:53,533,40,50,0,549
2010-8-25_2:8,533,40,50,0,550
2010-8-25_2:23,532,40,50,0,550
2010-8-25_2:38,532,40,50,0,548
2010-8-25_2:53,531,39,49,0,550
2010-8-25_3:8,532,40,49,0,551
2010-8-25_3:23,530,40,50,0,547
2010-8-25_3:38,529,40,49,0,550
2010-8-25_3:53,529,39,50,0,553
2010-8-25_4:8,529,40,50,0,550
2010-8-25_4:23,529,39,49,0,549
2010-8-25_4:38,528,39,49,0,548
2010-8-25_4:53,527,40,49,0,552
2010-8-25_5:8,526,39,50,0,551
2010-8-25_5:23,526,40,49,0,548
2010-8-25_5:38,526,39,50,0,543
2010-8-25_5:53,527,39,50,0,545
2010-8-25_6:8,525,39,67,0,550
2010-8-25_6:23,525,39,140,0,505
2010-8-25_6:38,525,39,238,0,502
2010-8-25_6:53,526,39,299,0,511
2010-8-25_7:8,524,39,369,0,510
2010-8-25_7:23,525,39,499,0,511
2010-8-25_7:38,521,39,556,0,510
2010-8-25_7:53,521,39,516,0,508
2010-8-25_8:8,525,39,598,0,510
2010-8-25_8:23,522,39,611,0,508
2010-8-25_8:38,523,40,698,0,513
2010-8-25_8:53,522,40,697,0,512
2010-8-25_9:8,523,40,672,0,502
2010-8-25_9:23,520,40,682,0,500
2010-8-25_9:38,522,40,675,0,509
2010-8-25_9:53,519,40,630,0,505
2010-8-25_10:8,523,40,724,0,519
2010-8-25_10:23,522,40,702,0,518
2010-8-25_10:38,521,40,655,0,502
2010-8-25_10:53,520,41,730,0,504
2010-8-25_11:8,520,41,709,0,504
2010-8-25_11:23,519,41,747,0,503
2010-8-25_11:38,520,41,713,0,508
2010-8-25_11:53,520,41,756,0,493
2010-8-25_12:8,519,41,667,0,502
2010-8-25_12:23,519,41,651,0,491
2010-8-25_12:38,520,41,695,0,511
2010-8-25_12:53,518,41,758,0,505
2010-8-25_13:8,517,41,763,0,501
2010-8-25_13:23,517,41,748,0,516
2010-8-25_13:38,516,41,669,0,515
2010-8-25_13:53,515,42,763,0,511
2010-8-25_14:8,517,41,611,0,512
2010-8-25_14:23,516,42,723,0,502
2010-8-25_14:38,516,42,666,0,508
2010-8-25_14:53,514,42,683,0,501
2010-8-25_15:8,515,42,683,0,500
2010-8-25_15:23,515,42,678,0,500
2010-8-25_15:38,513,42,651,0,484
2010-8-25_15:53,513,41,669,0,495
2010-8-25_16:8,515,42,558,0,491
2010-8-25_16:23,512,41,593,0,500
2010-8-25_16:38,512,42,642,0,490
2010-8-25_16:53,510,42,621,0,508
2010-8-25_17:8,511,42,543,0,507
2010-8-25_17:23,509,41,418,0,506
2010-8-25_17:38,510,41,535,0,496
2010-8-25_17:53,511,42,536,1,493
2010-8-25_18:8,508,41,519,1,493
2010-8-25_18:23,508,41,449,1,507
2010-8-25_18:38,506,42,426,1,498
2010-8-25_18:53,507,41,339,1,510
2010-8-25_19:8,508,41,312,1,510
2010-8-25_19:23,508,41,201,1,508
2010-8-25_19:38,506,41,145,0,504
2010-8-25_19:53,510,41,78,0,506
2010-8-25_20:8,508,41,55,0,550
2010-8-25_20:23,509,41,51,0,552
2010-8-25_20:38,506,41,50,0,548
2010-8-25_20:53,506,41,50,0,551
2010-8-25_21:8,506,41,49,0,550
2010-8-25_21:23,507,41,60,0,549
2010-8-25_21:38,506,41,60,0,553
2010-8-25_21:53,508,41,51,0,552
2010-8-25_22:8,504,41,50,0,552
2010-8-25_22:23,506,40,50,0,552
2010-8-25_22:38,505,40,49,0,558
2010-8-25_22:53,505,41,49,0,553
2010-8-25_23:8,502,40,49,0,559
2010-8-25_23:23,503,41,49,0,563
2010-8-25_23:38,501,41,49,0,564
2010-8-25_23:53,501,40,48,0,563
2010-8-26_0:8,499,40,48,0,565
2010-8-26_0:23,499,40,49,0,566
2010-8-26_0:38,498,40,49,0,565
2010-8-26_0:53,498,40,50,0,565
2010-8-26_1:8,500,40,49,0,569
2010-8-26_1:23,497,40,50,0,566
2010-8-26_1:38,497,40,50,0,569
2010-8-26_1:53,494,40,50,0,568
2010-8-26_2:8,495,40,49,0,569
2010-8-26_2:23,494,40,50,0,570
2010-8-26_2:38,494,40,50,0,572
2010-8-26_2:53,493,40,49,0,564
2010-8-26_3:8,491,40,49,0,564
2010-8-26_3:23,492,39,49,0,566
2010-8-26_3:38,490,39,49,0,568
2010-8-26_3:53,489,39,49,0,568
2010-8-26_4:8,491,39,49,0,565
2010-8-26_4:23,490,39,48,0,563
2010-8-26_4:38,489,39,48,0,565
2010-8-26_4:53,487,39,48,0,569
2010-8-26_5:8,487,39,48,0,567
2010-8-26_5:23,487,39,48,0,565
2010-8-26_5:38,486,39,48,0,562
2010-8-26_5:53,485,39,51,0,567
2010-8-26_6:8,485,39,75,0,571
2010-8-26_6:23,486,39,154,0,526
2010-8-26_6:38,485,39,259,0,528
2010-8-26_6:53,485,39,343,0,517
2010-8-26_7:8,484,39,401,0,518
2010-8-26_7:23,483,39,456,0,532
2010-8-26_7:38,483,39,496,0,529
2010-8-26_7:53,484,39,539,0,539
2010-8-26_8:8,485,39,582,0,523
2010-8-26_8:23,485,39,623,0,529
2010-8-26_8:38,483,39,690,0,534
2010-8-26_8:53,484,39,869,0,528
2010-8-26_9:8,483,41,883,0,523
2010-8-26_9:23,482,41,902,0,526
2010-8-26_9:38,482,43,908,0,527
2010-8-26_9:53,482,43,909,0,522
2010-8-26_10:8,483,44,890,0,522
2010-8-26_10:23,485,44,890,0,536
2010-8-26_10:38,489,44,857,0,535
2010-8-26_10:53,493,43,786,0,526
2010-8-26_11:8,492,44,863,0,533
2010-8-26_11:23,493,45,716,0,534
2010-8-26_11:38,490,44,737,0,538
2010-8-26_11:53,489,45,885,0,528
2010-8-26_12:8,490,45,818,0,534
2010-8-26_12:23,492,45,815,0,520
2010-8-26_12:38,490,45,871,0,523
2010-8-26_12:53,486,47,904,0,521
2010-8-26_13:8,488,46,909,0,514
2010-8-26_13:23,488,46,909,0,519
2010-8-26_13:38,488,45,900,0,514
2010-8-26_13:53,488,46,889,0,504
2010-8-26_14:8,485,45,876,0,504
2010-8-26_14:23,484,45,756,0,505
2010-8-26_14:38,482,45,859,0,505
2010-8-26_14:53,480,45,727,0,502
2010-8-26_15:8,480,44,759,0,508
2010-8-26_15:23,475,44,814,0,498
2010-8-26_15:38,473,45,723,0,499
2010-8-26_15:53,470,44,685,0,488
2010-8-26_16:8,470,44,708,0,497
2010-8-26_16:23,467,44,769,0,483
2010-8-26_16:38,467,43,651,0,498
2010-8-26_16:53,464,43,694,0,496
2010-8-26_17:8,464,43,746,0,500
2010-8-26_17:23,460,43,681,0,492
2010-8-26_17:38,459,43,632,0,495
2010-8-26_17:53,457,43,637,0,505
2010-8-26_18:8,457,43,609,0,504
2010-8-26_18:23,454,43,581,0,482
2010-8-26_18:38,453,42,585,0,487
2010-8-26_18:53,453,42,507,0,483
2010-8-26_19:8,452,42,407,0,484
2010-8-26_19:23,450,42,299,0,489
2010-8-26_19:38,449,42,184,0,487
2010-8-26_19:53,448,42,92,0,476
2010-8-26_20:8,449,42,55,0,532
2010-8-26_20:23,447,41,50,0,527
2010-8-26_20:38,446,42,50,0,528
2010-8-26_20:53,444,41,50,0,530
2010-8-26_21:8,443,41,49,0,533
2010-8-26_21:23,443,41,50,0,532
2010-8-26_21:38,441,41,51,0,533
2010-8-26_21:53,439,41,50,0,531
2010-8-26_22:8,437,41,51,0,522
2010-8-26_22:23,435,40,51,0,533
2010-8-26_22:38,435,40,51,0,526
2010-8-26_22:53,430,40,52,0,529
2010-8-26_23:8,429,40,52,0,529
2010-8-26_23:23,427,40,55,0,530
2010-8-26_23:38,426,40,52,0,529
2010-8-26_23:53,423,40,51,0,529
2010-8-27_0:8,421,39,51,0,529
2010-8-27_0:23,418,39,51,0,532
2010-8-27_0:38,418,39,51,0,527
2010-8-27_0:53,416,39,51,0,532
2010-8-27_1:8,413,39,52,0,533
2010-8-27_1:23,413,39,52,0,528
2010-8-27_1:38,411,38,52,0,533
2010-8-27_1:53,409,38,52,0,532
2010-8-27_2:8,409,38,52,0,525
2010-8-27_2:23,406,38,51,0,538
2010-8-27_2:38,404,38,51,0,533
2010-8-27_2:53,402,38,52,0,534
2010-8-27_3:8,402,38,51,0,538
2010-8-27_3:23,400,38,52,0,538
2010-8-27_3:38,397,38,51,0,535
2010-8-27_3:53,397,38,51,0,534
2010-8-27_4:8,396,38,51,0,535
2010-8-27_4:23,396,38,51,0,537
2010-8-27_4:38,394,37,51,0,532
2010-8-27_4:53,393,37,51,0,531
2010-8-27_5:8,390,37,50,0,535
2010-8-27_5:23,388,37,51,0,531
2010-8-27_5:38,387,37,51,0,532
2010-8-27_5:53,385,37,53,0,533
2010-8-27_6:8,385,37,75,0,533
2010-8-27_6:23,385,37,156,0,543
2010-8-27_6:38,386,37,256,0,485
2010-8-27_6:53,385,37,329,0,473
2010-8-27_7:8,381,37,381,0,475
2010-8-27_7:23,381,37,429,0,477
2010-8-27_7:38,380,37,460,0,471
2010-8-27_7:53,380,37,483,0,475
2010-8-27_8:8,381,37,522,0,475
2010-8-27_8:23,377,37,574,0,484
2010-8-27_8:38,376,37,684,0,473
2010-8-27_8:53,375,38,886,0,482
2010-8-27_9:8,373,39,904,0,473
2010-8-27_9:23,371,40,925,0,471
2010-8-27_9:38,372,41,929,0,474
2010-8-27_9:53,369,42,920,0,483
2010-8-27_10:8,370,43,914,0,472
2010-8-27_10:23,371,43,893,0,475
2010-8-27_10:38,382,42,845,0,485
2010-8-27_10:53,384,41,860,0,480
2010-8-27_11:8,382,42,905,0,476
2010-8-27_11:23,374,44,905,0,477
2010-8-27_11:38,369,46,911,0,477
2010-8-27_11:53,366,47,795,0,489
2010-8-27_12:8,369,48,909,0,474
2010-8-27_12:23,370,48,906,0,476
2010-8-27_12:38,374,48,900,0,471
2010-8-27_12:53,377,49,908,0,471
2010-8-27_13:8,384,48,913,0,473
2010-8-27_13:23,384,47,887,0,474
2010-8-27_13:38,385,47,897,0,470
2010-8-27_13:53,385,46,877,0,472
2010-8-27_14:8,383,45,878,0,471
2010-8-27_14:23,383,45,852,0,473
2010-8-27_14:38,378,45,841,0,473
2010-8-27_14:53,375,45,821,0,473
2010-8-27_15:8,372,45,801,0,469
2010-8-27_15:23,370,44,789,0,470
2010-8-27_15:38,364,44,751,0,469
2010-8-27_15:53,363,44,772,0,472
2010-8-27_16:8,359,44,733,0,468
2010-8-27_16:23,358,44,718,0,461
2010-8-27_16:38,356,43,703,0,461
2010-8-27_16:53,356,44,685,0,458
2010-8-27_17:8,349,43,672,0,464
2010-8-27_17:23,347,43,662,0,471
2010-8-27_17:38,346,42,644,0,464
2010-8-27_17:53,343,43,630,0,459
2010-8-27_18:8,344,43,599,0,460
2010-8-27_18:23,341,42,576,0,462
2010-8-27_18:38,340,42,616,0,455
2010-8-27_18:53,345,42,498,0,465
2010-8-27_19:8,338,42,391,0,468
2010-8-27_19:23,337,42,285,0,468
2010-8-27_19:38,337,42,175,0,454
2010-8-27_19:53,337,42,87,0,444
2010-8-27_20:8,337,41,53,0,447
2010-8-27_20:23,334,41,49,0,471
2010-8-27_20:38,334,41,49,0,488
2010-8-27_20:53,332,41,49,0,479
2010-8-27_21:8,333,41,58,0,481
2010-8-27_21:23,330,40,50,0,471
2010-8-27_21:38,329,40,49,0,476
2010-8-27_21:53,326,40,49,0,477
2010-8-27_22:8,326,41,50,0,483
2010-8-27_22:23,323,40,50,0,478
2010-8-27_22:38,321,40,50,0,481
2010-8-27_22:53,320,40,50,0,476
2010-8-27_23:8,319,39,51,0,483
2010-8-27_23:23,318,39,51,0,476
2010-8-27_23:38,315,39,51,0,477
2010-8-27_23:53,314,39,51,0,473
2010-8-28_0:8,312,39,51,0,476
2010-8-28_0:23,309,39,51,0,476
2010-8-28_0:38,309,39,51,0,473
2010-8-28_0:53,307,39,51,0,478
2010-8-28_1:8,305,38,52,0,478
2010-8-28_1:23,301,38,52,0,477
2010-8-28_1:38,301,38,52,0,478
2010-8-28_1:53,299,38,51,0,472
2010-8-28_2:8,298,38,52,0,481
2010-8-28_2:23,296,38,52,0,476
2010-8-28_2:38,295,38,52,0,475
2010-8-28_2:53,294,38,52,0,475
2010-8-28_3:8,294,38,52,0,480
2010-8-28_3:23,293,38,52,0,479
2010-8-28_3:38,290,37,52,0,477
2010-8-28_3:53,289,38,52,0,478
2010-8-28_4:8,288,37,51,0,476
2010-8-28_4:23,286,37,51,0,477
2010-8-28_4:38,284,38,52,0,478
2010-8-28_4:53,284,37,52,0,478
2010-8-28_5:8,282,37,51,0,478
2010-8-28_5:23,281,37,51,0,471
2010-8-28_5:38,279,37,52,0,477
2010-8-28_5:53,278,37,53,0,479
2010-8-28_6:8,279,37,71,0,482
2010-8-28_6:23,276,36,147,0,457
2010-8-28_6:38,276,37,249,0,457
2010-8-28_6:53,273,37,324,0,449
2010-8-28_7:8,274,36,378,0,440
2010-8-28_7:23,273,37,425,0,452
2010-8-28_7:38,273,36,454,0,447
2010-8-28_7:53,273,37,484,0,460
2010-8-28_8:8,272,37,521,0,458
2010-8-28_8:23,272,37,577,0,454
2010-8-28_8:38,271,37,706,0,456
2010-8-28_8:53,271,38,898,0,457
2010-8-28_9:8,267,40,894,0,441
2010-8-28_9:23,259,41,916,0,472
2010-8-28_9:38,257,42,908,0,460
2010-8-28_9:53,256,43,914,0,458
2010-8-28_10:8,256,44,904,0,448
2010-8-28_10:23,261,43,882,0,461
2010-8-28_10:38,269,43,827,0,464
2010-8-28_10:53,273,42,847,0,459
2010-8-28_11:8,274,43,901,0,466
2010-8-28_11:23,266,45,898,0,469
2010-8-28_11:38,253,47,904,0,466
2010-8-28_11:53,252,48,905,0,464
2010-8-28_12:8,253,50,901,0,451
2010-8-28_12:23,255,51,900,0,446
2010-8-28_12:38,260,51,899,0,454
2010-8-28_12:53,265,51,904,0,451
2010-8-28_13:8,274,51,908,0,450
2010-8-28_13:23,279,49,905,0,450
2010-8-28_13:38,282,48,899,0,458
2010-8-28_13:53,284,48,891,0,451
2010-8-28_14:8,283,47,875,0,445
2010-8-28_14:23,282,47,868,0,445
2010-8-28_14:38,280,47,854,0,453
2010-8-28_14:53,279,47,817,0,423
2010-8-28_15:8,276,46,797,0,418
2010-8-28_15:23,276,46,787,0,417
2010-8-28_15:38,273,45,792,0,419
2010-8-28_15:53,272,45,747,0,422
2010-8-28_16:8,268,45,732,0,438
2010-8-28_16:23,266,45,717,0,426
2010-8-28_16:38,264,45,710,0,437
2010-8-28_16:53,262,44,684,0,430
