y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-16_12:55,275,47,905,0,374
2010-8-16_13:10,269,47,896,0,362
2010-8-16_13:25,268,47,917,0,357
2010-8-16_13:40,270,47,932,0,375
2010-8-16_13:55,271,48,927,0,375
2010-8-16_14:10,275,47,868,0,376
2010-8-16_14:25,276,47,832,0,362
2010-8-16_14:40,276,47,868,0,360
2010-8-16_14:55,274,47,795,0,361
2010-8-16_15:10,276,47,877,0,352
2010-8-16_15:25,271,48,865,0,363
2010-8-16_15:40,273,47,850,0,367
2010-8-16_15:55,269,47,832,0,361
2010-8-16_16:10,270,47,815,0,356
2010-8-16_16:25,269,47,804,0,361
2010-8-16_16:40,267,47,782,0,354
2010-8-16_16:55,265,47,641,0,352
2010-8-16_17:10,266,47,663,0,350
2010-8-16_17:25,264,47,589,0,349
2010-8-16_17:40,263,47,482,0,348
2010-8-16_17:55,261,46,370,0,351
2010-8-16_18:10,260,46,338,0,347
2010-8-16_18:25,256,46,369,0,352
2010-8-16_18:40,256,46,342,0,346
2010-8-16_18:55,256,46,482,0,342
2010-8-16_19:10,255,46,539,0,346
2010-8-16_19:25,252,46,580,0,332
2010-8-16_19:40,252,46,338,0,359
2010-8-16_19:55,245,46,197,0,356
2010-8-16_20:10,246,45,92,0,390
2010-8-16_20:25,246,45,59,0,386
2010-8-16_20:40,244,45,53,0,385
2010-8-16_20:55,246,45,52,0,382
2010-8-16_21:10,243,46,52,0,383
2010-8-16_21:25,243,45,51,0,385
2010-8-16_21:40,243,45,52,0,389
2010-8-16_21:55,243,45,51,0,384
2010-8-16_22:10,242,45,51,0,382
2010-8-16_22:25,241,45,51,0,379
2010-8-16_22:40,240,44,52,0,383
2010-8-16_22:55,240,45,52,0,380
2010-8-16_23:10,238,44,52,0,382
2010-8-16_23:25,236,44,52,0,418
2010-8-16_23:40,235,43,51,0,436
2010-8-16_23:55,273,43,50,0,463
2010-8-17_0:10,412,43,51,0,467
2010-8-17_0:25,486,43,49,0,468
2010-8-17_0:40,498,43,49,0,465
2010-8-17_0:55,508,43,49,0,468
2010-8-17_1:10,513,43,49,0,467
2010-8-17_1:25,516,43,49,0,472
2010-8-17_1:40,517,43,49,0,470
2010-8-17_1:55,516,43,49,0,466
2010-8-17_2:10,515,43,49,0,466
2010-8-17_2:25,519,43,49,0,467
2010-8-17_2:40,518,42,48,0,466
2010-8-17_2:55,518,42,48,0,472
2010-8-17_3:10,516,43,49,0,466
2010-8-17_3:25,516,42,48,0,472
2010-8-17_3:40,514,42,48,0,471
2010-8-17_3:55,515,42,48,0,473
2010-8-17_4:10,512,42,48,0,471
2010-8-17_4:25,513,42,48,0,472
2010-8-17_4:40,511,42,49,0,473
2010-8-17_4:55,508,42,48,0,471
2010-8-17_5:10,507,42,48,0,471
2010-8-17_5:25,508,42,48,0,472
2010-8-17_5:40,506,41,50,0,472
2010-8-17_5:55,504,42,62,0,471
2010-8-17_6:10,502,42,155,0,472
2010-8-17_6:25,502,42,210,0,450
2010-8-17_6:40,503,42,345,0,457
2010-8-17_6:55,503,42,322,0,454
2010-8-17_7:10,501,42,532,0,450
2010-8-17_7:25,501,42,597,0,454
2010-8-17_7:40,500,42,581,0,451
2010-8-17_7:55,500,42,632,0,453
2010-8-17_8:10,499,43,626,0,456
2010-8-17_8:25,501,42,671,0,452
2010-8-17_8:40,502,43,749,0,451
2010-8-17_8:55,499,43,766,0,449
2010-8-17_9:10,501,43,870,0,454
2010-8-17_9:25,499,45,890,0,450
2010-8-17_9:40,497,45,907,0,452
2010-8-17_9:55,498,47,913,0,456
2010-8-17_10:10,498,47,907,0,443
2010-8-17_10:25,501,48,901,0,445
2010-8-17_10:40,502,48,912,0,449
2010-8-17_10:55,506,48,908,0,449
2010-8-17_11:10,509,49,935,0,448
2010-8-17_11:25,511,50,942,0,455
2010-8-17_11:40,504,51,930,0,457
2010-8-17_11:55,509,51,935,0,450
2010-8-17_12:10,509,51,907,0,443
2010-8-17_12:25,510,51,883,0,445
2010-8-17_12:40,512,51,880,0,440
2010-8-17_12:55,511,50,851,0,436
2010-8-17_13:10,507,50,864,0,438
2010-8-17_13:25,503,49,860,0,438
2010-8-17_13:40,501,49,940,0,437
2010-8-17_13:55,497,49,874,0,437
2010-8-17_14:10,489,48,887,0,428
2010-8-17_14:25,488,48,835,0,429
2010-8-17_14:40,478,48,878,0,430
2010-8-17_14:55,475,48,862,0,427
2010-8-17_15:10,471,48,838,0,430
2010-8-17_15:25,465,48,813,0,427
2010-8-17_15:40,460,48,789,0,423
2010-8-17_15:55,458,48,779,0,421
2010-8-17_16:10,450,47,741,0,414
2010-8-17_16:25,449,47,754,0,423
2010-8-17_16:40,443,47,734,0,416
2010-8-17_16:55,442,47,731,0,408
2010-8-17_17:10,437,46,707,0,412
2010-8-17_17:25,435,46,729,0,413
2010-8-17_17:40,426,46,725,0,408
2010-8-17_17:55,425,46,634,0,398
2010-8-17_18:10,421,46,625,0,394
2010-8-17_18:25,420,46,530,0,389
2010-8-17_18:40,415,46,559,0,394
2010-8-17_18:55,413,46,502,0,392
2010-8-17_19:10,411,45,435,0,394
2010-8-17_19:25,412,45,374,0,395
2010-8-17_19:40,405,45,268,0,384
2010-8-17_19:55,402,45,130,0,387
2010-8-17_20:10,399,45,69,0,417
2010-8-17_20:25,401,45,53,0,420
2010-8-17_20:40,397,44,50,0,415
2010-8-17_20:55,392,44,52,0,422
2010-8-17_21:10,391,44,51,0,419
2010-8-17_21:25,388,44,51,0,418
2010-8-17_21:40,387,43,51,0,421
2010-8-17_21:55,383,44,51,0,421
2010-8-17_22:10,382,43,51,0,421
2010-8-17_22:25,379,43,51,0,420
2010-8-17_22:40,376,43,51,0,424
